"SID","Cond_code","Level_Code","pre_scaled","post_scaled","BNscore"
"S052",1,2,44,78,0.747
"S053",2,2,45,39,-0.999
"S054",3,2,70,69,0.687
"S055",1,2,48,53,-1
"S056",2,2,41,51,-0.974
"S057",3,2,48,67,0.139
"S058",1,2,56,54,-0.428
"S059",2,2,45,53,-0.947
"S060",3,2,50,51,0.001
"S061",1,2,60,50,-0.903
"S062",2,2,47,54,-0.998
"S063",1,2,50,54,-0.139
"S064",2,2,69,73,0.953
"S065",3,2,47,66,-0.66
"S066",1,2,39,53,-0.884
"S067",2,2,50,48,-1
"S068",3,2,54,50,-0.993
"S074",1,2,61,60,-0.991
"S075",2,2,45,61,0.554
"S076",3,2,53,51,0.115
"S077",1,2,70,75,-0.569
"S078",2,2,53,54,-0.94
"S079",3,2,72,56,-0.348
"S080",1,2,45,47,-1
"S081",2,2,61,54,-0.953
"S082",3,2,57,39,-0.98
"S083",1,2,63,41,-0.999
"S084",2,2,56,48,-0.987
"S085",3,2,51,56,-0.738
"S086",1,2,63,67,0.752
"S087",2,2,53,51,-0.835
"S088",3,2,48,58,-0.984
"S089",1,2,42,61,-0.987
"S090",2,2,56,51,-1
"S091",3,2,57,67,-0.999
"S097",1,2,61,57,0.278
"S098",2,2,54,64,-0.999
"S099",3,2,41,51,-0.722
"S100",1,2,63,58,-0.998
"S101",2,2,56,48,-0.999
"S102",3,2,63,67,0.04
"S103",1,2,61,78,0.869
"S104",2,2,42,53,-1
"S105",3,2,50,54,-0.626
"S106",1,2,57,73,0.266
"S107",2,2,47,45,-0.999
"S108",3,2,57,73,0.844
"S109",1,2,50,54,0.688
"S110",2,2,63,76,0.915
"S111",3,2,56,54,-0.998
"S112",1,2,54,61,0.693
"S113",2,2,44,63,0.868
"S114",3,2,66,70,0.28
"S119",1,1,58,63,-0.0209999999999999
"S120",2,1,51,70,0.307
"S121",3,1,70,81,0.789
"S122",1,1,75,58,0.00700000000000001
"S123",2,1,56,72,0.983
"S124",3,1,57,70,-0.016
