"","X","app","uid","context","timestamp","Physics_EAP","ForceAndMotion_EAP","LinearMomentum_EAP","Energy_EAP","Torque_EAP","NFL_EAP","NSL_EAP","NTL_EAP","POfMom_EAP","ConOfMom_EAP","EnergyTransfer_EAP","EnergyDissipate_EAP","StaticEquilibrium_EAP","PropertiesofTorque_EAP","Physics_Margin.High","Physics_Margin.Medium","Physics_Margin.Low","Physics_Mode","StartDate","Duration_sec","c1","c2","c3","gender","gender_other","ethnicity","ethnicity_other","grade","pre_ECT1","pre_ECT2","pre_POT1","pre_POT2","pre_N1L1","pre_N1L2","pre_N2L1","pre_N2L2","pre_N3L1","pre_N3L2","pre_POM1","pre_POM2","pre_ECD1","pre_ECD2","pre_Eqil1","pre_Eqil2","pre_COM1","pre_COM2","Post_StartDate","Post_Duration..in.seconds","post_ECT1","post_ECT2","post_POT1","post_POT2","post_N1L1","post_N1L2","post_N2L1","post_N2L2","post_N3L1","post_N3L2","post_POM1","post_POM2","post_ECD1","post_ECD2","post_Eqil1","post_Eqil2","post_COM1","post_COM2","preScore","postScore","Cond","filter_.","Gain","gender_bg","WE_watched","Game_Q1","R_Game_Q2","R_Game_Q3","Game_Q4","Game_Q5","Game_Q6","Game_Q7","Game_Q8","Game_Q9","Game_Q10","LS_Q1","LS_Q2","R_LS_Q3","LS_Q4","R_LS_Q5","R_LS_Q6","Game_Satis_Score","LS_Satis_Score","Game_Q2","Game_Q3","LS_Q3","LS_Q5","LS_Q6","LS_Satis_S","Game_Satis_S","pre_NFM","pre_Energy","pre_Moemntum","pre_Torque","post_NFM","post_Energy","post_Momentum","post_Torque","log_phys_anim_freq","ALL_LSs","physicLSduration","perceived_competency","Game_enjoyment","solutionLSduration","score","AllLSduration","PropToolLS","PropPhysLS","PropSoluLS","LScond","NumberAttempts_sum","NumberAttempts_mean","condition","physAnimFreq","physAnimDuration","weFreq","weDuration","hintFreq","hintDuration","toolsFreq","toolsDuration","glossaryFreq","glossaryDuration","defFreq","defDuration","formFreq","formDuration","hvFreq","hvDuration","levelVisited","levelCompleted","silver","gold","avgAttempts","avgDuration","PhysVideosUse","PhysVideosUse3Levels","enjoy_playagain","ethWBH","NFLprepost","NSLprepost","NTLprepost","ECTprepost","POTprepost","POMprepost","Eqilprepost","ECDprepost","COMprepost","prepostNFM","prepostEnergy","prepostMomentum","prepostTorque"
"S004c1",1,"adaptive","004c1","Spring","2019-05-22 08:44:34",-0.4817,-0.6566,-0.1107,-0.6208,-0.4829,-0.9674,-0.9674,-0.9674,-0.0013,0.1223,0.0015,-0.9674,-0.0644,0.8417,0.0098,0.4825,0.5077,"L","5/10/19 8:52 ",2105,1,0,0,"Boy",0,"White",0,"10th",0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,"5/22/19 9:02 ",383,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,15,13,"Adaptive","Selected",-2,"Boy","WE",3,2,2,4,4,5,3,3,3,3,5,3,3,3,2,3,32,19,4,4,3,4,3,3.16666666666667,3.2,5,3,4,3,5,2,4,2,0.778151250383644,9,0,8,13,86269,960,86269,0,0,1,"3",232,3.26760563380282,"Adaptive",1,0,6,81.6579999923707,3,4.61100006103515,0,0,0,0,0,0,0,0,0,0,56,56,29,33,3.4,86.6258999982857,1,1,3,"White",2,4,4,2,3,4,2,3,4,10,5,8,5
"S007c1",2,"adaptive","007c1","Pipes","2019-05-20 09:18:26",0.0894,-0.1162,0.4446,0.023,0.2729,-0.9674,-0.9674,-0.9674,-0.0364,0.9644,0.9674,-0.9674,0.9669,0.9666,0.1291,0.8341,0.0367,"M","5/13/19 9:13 ",979,1,0,0,"Girl",0,"Black or African American",0,"11th",0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,"5/20/19 9:22 ",607,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,10,15,"Adaptive","Selected",5,"Girl","WE",5,5,5,2,4,5,5,5,5,5,5,5,5,5,5,5,46,30,1,1,1,1,1,5,4.6,3,0,4,3,4,4,3,4,0.778151250383644,39,0,6,25,219751,620,433619,0.49321639503804,0,0.50678360496196,"3",152,2.71428571428571,"Adaptive",0,0,6,144.22600043869,21,46.1439999275207,13,213.868000030518,0,0,0,0,0,0,0,0,49,42,29,14,2.78571428571429,143.65275,0,0,5,"Black",3,2,2,2,4,3,3,2,4,7,4,7,7
"S009c1",3,"adaptive","009c1","Spiral","2019-05-22 09:00:23",-0.6057,-0.7755,-0.4458,-0.2696,-0.8174,-0.9674,-0.9674,-0.9674,-0.9484,0.0218,0.9672,-0.9674,-0.9673,0.963,0.0036,0.3668,0.6297,"L","5/10/19 8:50 ",2376,1,0,0,"Boy",0,"Hispanic",0,"9th",1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,"5/22/19 9:00 ",657,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,13,15,"Adaptive","Selected",2,"Boy","WE",5,4,3,5,4,4,4,4,4,4,4,4,4,4,4,1,41,21,2,3,2,2,5,3.5,4.1,4,4,3,2,6,4,4,1,0.477121254719662,9,0,9,20,64841,910,64841,0,0,1,"3",219,3.53225806451613,"Adaptive",1,0,4,51.3909999980927,6,14.6139998435974,0,0,0,0,0,0,0,0,0,0,52,50,23,32,3.859375,117.352645149032,1,1,4.5,"Hispanic",3,3,4,4,2,3,1,4,4,10,8,7,3
"S010c1",4,"adaptive","010c1","Cookie Monster","2019-05-22 08:54:53",-0.5567,-0.723,-0.4245,-0.6756,-0.4878,-0.9674,-0.9674,-0.9674,-0.967,0.0065,1.6235e-06,-0.9674,0.0807,0.9673,0.0064,0.4117,0.5819,"L","5/10/19 8:52 ",2333,1,0,0,"Girl",0,"Black or African American",0,"10th",1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1,"5/22/19 9:03 ",606,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,12,9,"Adaptive","Selected",-3,"Girl","WE",2,2,2,4,4,4,3,4,1,2,2,1,2,4,2,2,28,13,4,4,4,4,4,2.16666666666667,2.8,3,3,4,2,3,3,2,1,0.301029995663981,5,0,8,9,49101,1120,73291,0.330054167633134,0,0.669945832366866,"3",445,4.83695652173913,"Adaptive",0,0,0,0,1,3.01900005340576,2,24.1900000572205,0,0,0,0,0,0,0,0,71,61,22,39,5.26666666666667,93.2764204627273,0,0,1.5,"Black",2,3,1,4,3,3,0,2,3,6,6,6,3
"S011c1",5,"adaptive","011c1","Tetherball","2019-05-22 08:45:54",-0.8929,-0.9453,-0.6423,-0.8853,-0.9651,-0.9674,-0.9674,-0.9674,-0.8503,-0.1246,-3e-04,-0.9674,-0.9516,-0.3515,1e-04,0.0768,0.9231,"L","5/10/19 8:52 ",2289,1,0,0,"Boy",0,"Black or African American",0,"10th",0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,"5/22/19 9:01 ",481,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,6,5,"Adaptive","Selected",-1,"Boy","WE",3,5,3,3,4,3,3,4,3,4,3,3,2,3,2,3,35,16,1,3,4,4,3,2.66666666666667,3.5,2,1,1,2,2,0,1,2,0.301029995663981,8,0,7,18,39855,350,244706,0.837131087917746,0,0.162868912082254,"ToolLs preference",186,6.41379310344828,"Adaptive",0,0,3,28.6950000038147,4,13.2690000534058,2,204.851000070572,1,4.42799997329712,0,0,0,0,0,0,21,21,12,10,7.22222222222222,272.422115395,0,0,3,"Black",1,2,1,1,2,2,2,0,0,4,1,2,4
"S013c1",6,"adaptive","013c1","Angels","2019-05-22 09:00:05",-0.2666,-0.4573,0.2332,-0.458,-0.2646,-0.9674,-0.9674,-0.9674,-0.0424,0.9661,0.012,-0.9674,-3e-04,0.9661,0.026,0.6724,0.3016,"M","5/10/19 8:51 ",2292,1,0,0,"Boy",0,"White",0,"10th",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,"5/22/19 9:01 ",538,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,17,16,"Adaptive","Selected",-1,"Boy","WE",4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,4,47,28,2,2,1,2,2,4.66666666666667,4.7,6,4,3,4,5,4,4,3,0.845098040014257,9,0,10,22,160015,1040,166677,0.0399695218896428,0,0.960030478110357,"3",265,3.48684210526316,"Adaptive",8,0,7,156.467999696732,1,3.54699993133545,1,6.66200017929077,0,0,0,0,0,0,0,0,67,64,33,33,3.56,93.4769999972973,1,2,4.5,"White",3,4,4,4,3,3,4,4,4,11,8,7,7
"S016c1",7,"adaptive","016c1","Newton's Cradle","2019-05-20 09:19:22",-0.8521,-0.9205,-0.5552,-0.861,-0.9235,-0.9674,-0.9674,-0.9674,-0.3858,-0.3161,0,-0.9674,-0.9664,0.9647,7e-04,0.1178,0.8815,"L","5/13/19 9:13 ",1441,1,0,0,"Boy",0,"Black or African American",0,"11th",1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,"5/20/19 9:20 ",673,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,12,12,"Adaptive","Selected",0,"Boy","WE",4,3,2,5,4,4,4,3,4,5,4,4,4,4,5,3,38,24,3,4,2,1,3,4,3.8,5,2,3,2,3,4,3,2,0.477121254719662,9,0,9,18,63586,480,68470,0.0713305097122827,0,0.928669490287717,"3",150,3.94736842105263,"Adaptive",1,1.62,3,47.9389998912811,5,15.6470000743866,1,4.8840000629425,0,0,0,0,0,0,0,0,33,32,21,11,4,200.822605241579,1,1,4,"Black",2,4,2,4,4,3,0,2,3,8,6,6,4
"S017c1",8,"adaptive","017c1","Mobile","2019-05-20 09:19:34",-0.163,-0.3407,0.3528,-0.0665,-0.3503,-0.9674,-0.9674,-0.9673,0.2786,0.8242,0.9674,-0.9674,-0.497,0.9674,0.0414,0.7487,0.2099,"M","5/13/19 9:13 ",1353,1,0,0,"Girl",0,"36",0,"11th",0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,"5/20/19 9:20 ",680,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,7,13,"Adaptive","Selected",6,"Girl","WE",4,4,4,4,4,5,4,3,4,3,5,5,4,4,4,3,39,25,2,2,2,2,3,4.16666666666667,3.9,3,0,3,1,3,4,4,2,0,16,0,8,19,81072,610,117410,0.309496635720978,0,0.690503364279022,"3",149,2.86538461538462,"Adaptive",0,0,1,19.257000207901,14,61.8150000572204,1,36.3380000591278,0,0,0,0,0,0,0,0,44,42,32,13,2.88461538461538,182.253115381154,0,0,4,NA,2,2,2,2,1,4,2,2,3,6,4,7,3
"S018c1",9,"adaptive","018c1","Mr Green","2019-05-20 10:07:07",-0.325,-0.5343,0.1783,-0.1348,-0.6479,-0.9674,-0.9674,-0.9674,-0.1194,0.9674,0.9674,-0.9674,-0.9671,0.9674,0.0184,0.6273,0.3543,"M","5/10/19 10:09",797,1,0,0,"Girl",0,"Black or African American",0,"9th",1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,"5/20/19 10:14",832,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,15,15,"Adaptive","Selected",0,"Girl","WE",5,5,5,4,2,5,4,2,4,5,5,3,4,5,4,5,41,26,1,1,2,2,1,4.33333333333333,4.1,5,4,4,2,6,4,4,1,0.301029995663981,7,0,6,24,50461,780,87626,0.424132106908908,0,0.575867893091092,"3",248,2.98795180722892,"Adaptive",0,0,2,45.9420001506806,3,4.51900005340576,2,37.1649999618531,0,0,0,0,0,0,0,0,51,50,30,23,2.98795180722892,86.4728536615854,0,0,4.5,"Black",3,4,4,4,3,4,0,4,4,11,8,8,3
"S020c1",10,"adaptive","020c1","Volcano","2019-05-20 10:10:08",-0.5477,-0.7324,-0.32,-0.241,-0.7868,-0.9674,-0.9674,-0.9674,-0.2505,-0.1942,0.9674,-0.9674,-0.9674,0.9674,0.0051,0.4237,0.5712,"L","5/10/19 10:09",398,1,0,0,"Boy",0,"White",0,"9th",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"5/20/19 10:13",439,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,2,7,"Adaptive","Selected",5,"Boy","WE",5,5,4,5,4,4,5,5,5,5,5,4,4,4,5,2,47,24,1,2,2,1,4,4,4.7,1,1,0,0,2,3,0,2,0.301029995663981,23,0,9,24,73517,530,86519,0.150279129439776,0,0.849720870560224,"3",278,3.39024390243902,"Adaptive",0,0,2,22.093000125885,12,28.9809999465942,5,13.0020000934601,0,0,0,0,0,0,0,0,50,36,27,13,3.40243902439024,96.5292098712346,0,0,5,"White",0,2,1,3,1,0,1,1,0,3,4,0,2
