"","app","uid","context","timestamp","Physics_EAP","ForceAndMotion_EAP","LinearMomentum_EAP","Energy_EAP","Torque_EAP","NFL_EAP","NSL_EAP","NTL_EAP","POfMom_EAP","ConOfMom_EAP","EnergyTransfer_EAP","EnergyDissipate_EAP","StaticEquilibrium_EAP","PropertiesofTorque_EAP","Physics_Margin.High","Physics_Margin.Medium","Physics_Margin.Low"
"1","adaptive","004c1","Spring",2019-05-22 08:44:34,-0.2826,-0.4475,0.3362,-0.441,-0.3295,-0.9674,-0.9674,-0.9674,0.3211,0.9511,0.0091,-0.8957,-0.1808,0.9472,0.0323,0.6432,0.3244
"2","adaptive","007c1","Pipes",2019-05-20 09:18:26,-0.1998,-0.3602,0.4681,-0.0778,-0.5275,-0.9674,-0.899,-0.9674,0.7008,0.8578,0.9674,-0.9674,-0.9591,0.9668,0.0367,0.72,0.2433
"3","adaptive","009c1","Spiral",2019-05-22 09:00:23,-0.6824,-0.796,-0.0019,-0.7504,-0.8378,-0.9674,-0.9674,-0.9674,0.3971,0.5204,-6e-04,-0.9674,-0.9673,0.9253,0.0068,0.2811,0.7121
"4","adaptive","010c1","Cookie Monster",2019-05-22 08:54:53,-0.7125,-0.8297,-0.2265,-0.775,-0.7951,-0.9674,-0.9674,-0.9674,0.0074,0.0704,-4.9976e-06,-0.9674,-0.7727,0.9674,0.0036,0.2563,0.7401
"5","adaptive","011c1","Tetherball",2019-05-22 08:45:54,-0.537,-0.6384,0.2706,-0.4677,-0.9305,-0.9674,-0.8185,-0.9674,0.6871,0.9338,0.0219,-0.5377,-0.9447,-0.4567,0.0074,0.4301,0.5625
"6","adaptive","013c1","Angels",2019-05-22 09:00:05,-0.5588,-0.69,0.2628,-0.6496,-0.7598,-0.9674,-0.9674,-0.9674,0.7334,0.9672,0.0397,-0.9674,-0.9652,0.9674,0.0133,0.3958,0.5909
"7","adaptive","016c1","Spider Web",2019-05-20 09:12:51,-0.6182,-0.7531,-0.5865,-0.1503,-0.7994,-0.9674,-0.9518,-0.9672,-0.4883,-0.6573,0.7294,-0.2938,-0.9652,0.9617,0.0201,0.3209,0.6591
"8","adaptive","017c1","Mobile",2019-05-20 09:19:34,-0.6339,-0.7141,-0.2844,-0.54,-0.7825,-0.9672,-0.8462,-0.9655,-0.077,-0.1106,0.4056,-0.9674,-0.9544,0.9674,0.0111,0.3225,0.6664
"9","adaptive","018c1","Tetherball",2019-05-20 10:02:34,-0.1693,-0.3395,0.534,-0.0667,-0.4965,-0.9674,-0.9674,-0.9674,0.7738,0.9665,0.9673,-0.9674,-0.9203,0.9674,0.0409,0.7432,0.2159
"10","adaptive","020c1","Volcano",2019-05-20 10:10:08,-0.6391,-0.7855,-0.513,-0.2886,-0.8243,-0.9674,-0.9674,-0.9674,-0.3649,-0.5021,0.965,-0.9674,-0.9673,0.9674,0.0059,0.3275,0.6666
"11","adaptive","021c1","Timing is Everything",2019-05-22 10:42:19,-0.5649,-0.7017,-0.1184,-0.6416,-0.6167,-0.9674,-0.9673,-0.9674,0.1428,0.1106,0.0724,-0.9674,-0.4375,0.7897,0.0159,0.3842,0.5998
"12","adaptive","022c1","Break the maze",2019-05-22 10:53:50,-0.5983,-0.7683,-0.4388,-0.2661,-0.807,-0.9674,-0.9674,-0.9674,-0.7889,-0.0834,0.9674,-0.9674,-0.9535,0.9674,0.0039,0.3737,0.6223
"13","adaptive","023c1","Stairs",2019-05-22 10:51:11,-0.5822,-0.7112,0.2357,-0.6797,-0.7737,-0.9674,-0.9674,-0.9674,0.6887,0.9545,-2e-04,-0.9674,-0.9623,0.9673,0.0118,0.3746,0.6136
"14","adaptive","024c1","Collision",2019-05-20 09:57:18,-0.218,-0.3807,0.4144,-0.0775,-0.5398,-0.9674,-0.8932,-0.9674,0.6414,0.7696,0.9669,-0.9412,-0.9528,0.9666,0.036,0.7026,0.2614
"15","adaptive","025c1","Blocked by Blocks",2019-05-20 10:09:40,-0.3232,-0.5134,0.1897,-0.1359,-0.6333,-0.9674,-0.9674,-0.9674,0.4236,0.4612,0.9674,-0.9674,-0.9669,0.9674,0.0227,0.6204,0.3568
"16","adaptive","026c1","Spiral",2019-05-22 10:54:09,-0.34,-0.4851,0.396,-0.4995,-0.435,-0.9674,-0.9674,-0.9674,0.7087,0.9114,-0.0058,-0.9674,-8e-04,0.5427,0.0316,0.5854,0.383
"17","adaptive","027c1","Fireworks",2019-05-16 10:37:39,-0.9094,-0.9489,-0.8401,-0.8607,-0.9576,-0.9674,-0.9674,-0.9674,-0.6994,-0.8515,0.0479,-0.9569,-0.7354,-0.4825,3e-04,0.0593,0.9404
"18","adaptive","029c1","Cosmic Cave",2019-05-22 10:54:41,-0.6619,-0.7876,0.1018,-0.7397,-0.8285,-0.9674,-0.9674,-0.9674,0.2349,0.9544,0.001,-0.9673,-0.9673,0.9651,0.0068,0.3022,0.691
"19","adaptive","031c1","Fireworks",2019-05-22 10:51:11,-0.7946,-0.8971,0.0859,-0.9453,-0.9384,-0.9674,-0.9674,-0.9674,0.6467,0.9502,-0.943,-0.9568,-0.7185,-0.4645,0.001,0.1766,0.8224
"20","adaptive","032c1","Tetherball",2019-05-23 08:54:11,-0.2671,-0.4387,0.4581,-0.1493,-0.5697,-0.9674,-0.9674,-0.9674,0.7542,0.9674,0.2607,-0.2872,-0.0423,0.0288,0.0635,0.5968,0.3397
"21","adaptive","033c1","Spider Web",2019-05-23 08:35:10,-0.8871,-0.938,-0.8245,-0.7718,-0.957,-0.9674,-0.9626,-0.9674,-0.6864,-0.8401,0.0096,-0.7546,-0.9668,0.086,5e-04,0.0821,0.9174
"22","adaptive","035c1","Mobile",2019-05-23 08:55:42,-0.0427,-0.2109,0.6275,0.268,-0.4167,-0.9674,-0.6607,-0.9671,0.7977,0.9652,0.6874,0.0528,-0.9534,0.9425,0.1242,0.7075,0.1683
"23","adaptive","038c1","Skate Park",2019-05-23 09:06:02,-0.6359,-0.7622,0.2006,-0.7184,-0.8502,-0.9674,-0.9674,-0.9674,0.6862,0.9674,7e-04,-0.9627,-0.9674,0.5578,0.0077,0.3273,0.665
"24","adaptive","040c1","Little Mermaid",2019-05-14 12:13:19,-0.8483,-0.8486,-0.7514,-0.7375,-0.9287,-0.9636,-0.7065,-0.9666,-0.6256,-0.7847,-0.1188,-0.7301,-0.71,-0.4556,0.0021,0.119,0.879
"25","adaptive","042c1","The Museum",2019-05-20 12:00:39,-0.5972,-0.7505,-0.5338,-0.2645,-0.7331,-0.9674,-0.9674,-0.9674,-0.4124,-0.583,0.9674,-0.9555,-0.7786,0.9674,0.0072,0.3683,0.6245
"26","adaptive","043c1","Mobile",2019-05-23 10:55:58,-0.4247,-0.6384,-0.0514,-0.1809,-0.7205,-0.9674,-0.9674,-0.9674,-0.9051,0.855,0.9674,-0.9674,-0.9666,0.9674,0.009,0.5429,0.4481
"27","adaptive","044c1","Lightning",2019-05-23 10:51:55,-0.581,-0.7242,-0.1345,-0.4745,-0.7831,-0.9674,-0.9674,-0.9674,0.1315,0.1114,0.5134,-0.9674,-0.9673,0.9674,0.0099,0.3796,0.6105
"28","adaptive","045c1","Break the maze",2019-05-23 10:51:57,-0.1734,-0.3422,0.5392,-0.0682,-0.5127,-0.9674,-0.9674,-0.9674,0.8487,0.9206,0.9674,-0.9674,-0.964,0.9674,0.0401,0.7406,0.2193
"29","adaptive","046c1","Work It Up",2019-05-23 10:56:05,-0.571,-0.7462,-0.3308,-0.2817,-0.7966,-0.9674,-0.9674,-0.9674,-0.658,0.1055,0.9061,-0.9674,-0.967,0.9674,0.0051,0.3995,0.5954
"30","adaptive","047c1","Collision",2019-05-20 11:48:04,-0.1487,-0.2888,0.5597,-0.0436,-0.4681,-0.9674,-0.8086,-0.9674,0.7749,0.9553,0.9674,-0.9392,-0.9199,0.9668,0.0451,0.756,0.1989
"31","adaptive","049c1","Tetherball",2019-05-20 11:55:05,-0.8013,-0.8901,-0.357,-0.8307,-0.898,-0.9674,-0.9674,-0.9674,-0.5101,0.2782,8e-04,-0.9674,-0.9562,0.9671,0.0017,0.1682,0.8301
"32","adaptive","052c1","Collision",2019-05-20 11:55:25,-0.4079,-0.5421,0.3696,-0.4248,-0.6558,-0.9674,-0.9118,-0.9674,0.7297,0.9653,0.3439,-0.9258,-0.9563,0.9657,0.0244,0.5295,0.446
"33","adaptive","053c1","Collision",2019-05-20 11:44:27,-0.147,-0.2861,0.5668,-0.0464,-0.4662,-0.9674,-0.8081,-0.9674,0.7829,0.9674,0.9674,-0.9498,-0.9197,0.9674,0.0447,0.7586,0.1967
"34","adaptive","056c1","Volcano",2019-05-17 12:19:11,-0.8613,-0.8633,-0.7662,-0.7714,-0.9335,-0.9674,-0.7187,-0.9674,-0.6379,-0.7958,-0.2555,-0.7539,-0.7143,-0.4601,0.0018,0.1061,0.8921
"35","adaptive","059c1","Collision",2019-05-20 11:52:00,-0.702,-0.8069,0.1592,-0.7631,-0.9528,-0.9674,-0.9191,-0.9674,0.6752,0.9673,-0.0033,-0.9672,-0.9612,-0.4779,0.0022,0.27,0.7279
"36","adaptive","060c1","Lightning",2019-05-23 10:54:42,-0.5496,-0.7281,-0.3288,-0.245,-0.7782,-0.9674,-0.9674,-0.9674,-0.7556,0.1561,0.9623,-0.9674,-0.9519,0.9674,0.0061,0.4195,0.5743
"37","adaptive","061c1","Break the maze",2019-05-23 10:52:04,-0.7234,-0.8411,-0.0392,-0.7842,-0.8659,-0.9674,-0.9674,-0.9674,-0.2062,0.8772,1e-04,-0.9674,-0.9674,0.9674,0.0036,0.245,0.7514
"38","adaptive","065c1","Spring",2019-05-17 13:39:04,-0.4752,-0.6582,-0.1636,-0.2051,-0.736,-0.9674,-0.9462,-0.9674,-0.4716,0.3458,0.9674,-0.9673,-0.9645,0.9674,0.0098,0.4892,0.501
"39","adaptive","066c1","Collision",2019-05-20 13:21:50,-0.169,-0.3242,0.5352,-0.0615,-0.4999,-0.9674,-0.8867,-0.9674,0.7668,0.9521,0.9674,-0.9605,-0.9516,0.9674,0.0408,0.7437,0.2155
"40","adaptive","067c1","Collision",2019-05-20 13:19:05,-0.2822,-0.4409,0.3517,-0.167,-0.5829,-0.9674,-0.9002,-0.9674,0.6059,0.7327,0.847,-0.9674,-0.9541,0.9674,0.0295,0.6492,0.3212
"41","adaptive","068c1","Lollipop",2019-05-20 13:32:56,-0.2529,-0.434,0.3535,-0.1034,-0.5779,-0.9674,-0.9674,-0.9674,0.5933,0.7078,0.9674,-0.9657,-0.9673,0.9674,0.0307,0.6771,0.2921
"42","adaptive","072c1","Skate Park",2019-05-20 13:31:16,-0.6787,-0.7672,0.1789,-0.7281,-0.9469,-0.9674,-0.8657,-0.9674,0.6737,0.9545,0.0157,-0.9579,-0.948,-0.4722,0.0028,0.2928,0.7044
"43","adaptive","073c1","Laundry Day",2019-05-20 13:35:29,-0.9149,-0.9514,-0.883,-0.8928,-0.9407,-0.9674,-0.9674,-0.9674,-0.7588,-0.9245,0.0034,-0.9671,-0.9345,0.9655,2e-04,0.0538,0.946
"44","adaptive","074c1","Mobile",2019-05-20 13:28:05,-0.3986,-0.5651,0.3589,-0.2153,-0.8419,-0.9674,-0.9654,-0.9674,0.728,0.9673,0.3318,-0.3359,-0.9674,0.1629,0.0305,0.5271,0.4425
"45","adaptive","077c1","Laundry Day",2019-05-20 13:30:23,-0.1981,-0.3802,0.4311,-0.0383,-0.5284,-0.9674,-0.9674,-0.9674,0.6587,0.7947,0.9674,-0.8386,-0.9369,0.9667,0.0439,0.7074,0.2487
"46","adaptive","078c1","Collision",2019-05-20 13:25:22,-0.1772,-0.3413,0.5278,-0.0665,-0.5176,-0.9674,-0.9277,-0.9674,0.7688,0.9598,0.9667,-0.9606,-0.9623,0.9519,0.0395,0.7378,0.2227
"47","adaptive","080c1","Wavy",2019-05-17 13:58:41,-0.6474,-0.7678,-0.6084,-0.2359,-0.8102,-0.9674,-0.9379,-0.9674,-0.5065,-0.6739,0.618,-0.3566,-0.961,0.9652,0.0183,0.2942,0.6875
"48","adaptive","081c1","Blocked by Blocks",2019-05-20 13:28:53,-0.5964,-0.7224,0.2079,-0.6784,-0.7968,-0.9674,-0.9577,-0.9674,0.657,0.908,0.0275,-0.9646,-0.9131,0.6627,0.0109,0.3617,0.6274
"49","adaptive","083c1","Tetherball",2019-05-20 13:19:35,-0.2869,-0.28,0.5253,-0.1981,-0.6729,-0.9674,-0.2331,-0.9673,0.7718,0.9673,0.0478,-0.3409,-0.4865,-0.22,0.0393,0.6248,0.3359
"50","adaptive","084c1","Collision",2019-05-20 13:19:19,-0.3224,-0.507,0.2007,-0.1349,-0.6388,-0.9674,-0.9485,-0.9674,0.4357,0.4802,0.9653,-0.966,-0.9656,0.9201,0.0229,0.6208,0.3562
"51","adaptive","085c1","UFO2",2019-05-20 13:19:11,-0.7132,-0.8372,-0.6876,-0.3078,-0.8614,-0.9674,-0.9567,-0.9674,-0.5724,-0.7377,0.9661,-0.9203,-0.9658,0.9592,0.0044,0.254,0.7416
"52","adaptive","086c1","Collision",2019-05-20 13:28:48,-0.3283,-0.5165,0.1749,-0.136,-0.6362,-0.9674,-0.9584,-0.9674,0.406,0.4359,0.9674,-0.9616,-0.9668,0.967,0.0224,0.6158,0.3618
"53","adaptive","087c1","Spiral",2019-05-20 14:24:20,-0.574,-0.747,-0.4204,-0.2545,-0.7717,-0.9674,-0.9674,-0.9674,-0.8971,-0.0012,0.9674,-0.9674,-0.8986,0.9674,0.0045,0.3977,0.5978
"54","adaptive","090c1","Lollipop",2019-05-20 14:24:43,-0.1586,-0.3201,0.4386,0.0534,-0.487,-0.9674,-0.8151,-0.9674,0.6288,0.7313,0.9674,-0.6335,-0.9262,0.9674,0.0595,0.7171,0.2234
"55","adaptive","091c1","Cosmic Cave",2019-05-24 10:55:55,-0.5558,-0.7011,-0.1005,-0.6006,-0.6374,-0.9674,-0.9674,-0.9674,0.1831,0.1076,0.1765,-0.9674,-0.5836,0.9674,0.0099,0.4056,0.5845
"56","adaptive","093c1","Through the Cracks",2019-05-24 10:59:56,-0.396,-0.6036,0.0147,-0.168,-0.695,-0.9674,-0.9674,-0.9674,0.0193,0.4134,0.9674,-0.9674,-0.9631,0.9674,0.0127,0.5652,0.422
"57","adaptive","095c1","Spring",2019-05-24 10:31:47,-0.8564,-0.9184,-0.7217,-0.8611,-0.8869,-0.9674,-0.9674,-0.9674,-0.857,-0.4612,-2e-04,-0.9674,-0.8167,0.9644,9e-04,0.1129,0.8861
"58","adaptive","096c1","Collision",2019-05-20 14:16:04,-0.5413,-0.6431,0.2693,-0.4832,-0.9319,-0.9674,-0.8202,-0.9674,0.69,0.9398,0.0091,-0.5757,-0.945,-0.458,0.0059,0.4286,0.5654
"59","adaptive","097c1","Blocked by Blocks",2019-05-20 14:23:52,-0.1165,-0.2939,0.5691,0.0233,-0.4351,-0.9674,-0.9674,-0.9674,0.7814,0.9632,0.9674,-0.7616,-0.84,0.9674,0.0616,0.7565,0.182
"60","adaptive","098c1","Not too Far",2019-05-24 10:57:08,-0.659,-0.8089,-0.511,-0.3563,-0.8412,-0.9674,-0.9674,-0.9674,-0.9598,-0.0648,0.8431,-0.9674,-0.9674,0.9674,0.0028,0.3132,0.684
"61","adaptive","100c1","Glacier View",2019-05-24 10:58:56,-0.4131,-0.6097,0.0286,-0.2115,-0.6983,-0.9674,-0.9674,-0.9674,0.2623,0.2566,0.8896,-0.9674,-0.951,0.9541,0.0136,0.5459,0.4406
