"","app","uid","context","timestamp","Physics_EAP","ForceAndMotion_EAP","LinearMomentum_EAP","Energy_EAP","Torque_EAP","NFL_EAP","NSL_EAP","NTL_EAP","POfMom_EAP","ConOfMom_EAP","EnergyTransfer_EAP","EnergyDissipate_EAP","StaticEquilibrium_EAP","PropertiesofTorque_EAP","Physics_Margin.High","Physics_Margin.Medium","Physics_Margin.Low"
"1","linear","107c2","Timing is Everything",2019-05-22 08:55:03,-0.4904,-0.6543,-0.2409,-0.1956,-0.7332,-0.9674,-0.8867,-0.9673,-0.3572,-0.0156,0.9674,-0.9297,-0.9425,0.9609,0.0069,0.4793,0.5138
"2","linear","108c2","Wavy",2019-05-22 08:33:07,-0.459,-0.5934,-0.4078,0.0965,-0.6678,-0.9674,-0.8049,-0.9674,-0.3395,-0.5172,0.9302,-0.1013,-0.8873,0.9665,0.0387,0.448,0.5132
"3","linear","110c2","Wavy",2019-05-20 09:37:55,-0.7668,-0.8546,-0.7175,-0.5188,-0.875,-0.9674,-0.9577,-0.9674,-0.5974,-0.758,0.2888,-0.5673,-0.9659,0.9647,0.0088,0.1898,0.8014
"4","linear","111c2","Lollipop",2019-05-20 09:19:45,-0.8133,-0.8999,-0.9068,-0.3678,-0.9099,-0.9674,-0.9142,-0.9674,-0.9674,-0.9521,0.9674,-0.9674,-0.9624,0.9674,6e-04,0.1581,0.8413
"5","linear","112c2","Little Mermaid",2019-05-17 09:18:03,-0.9352,-0.96,-0.8574,-0.9481,-0.9666,-0.9674,-0.9639,-0.9674,-0.7138,-0.8641,-0.9199,-0.8781,-0.9669,-0.4909,0,0.0332,0.9667
"6","linear","114c2","Broken Heart",2019-05-22 08:50:28,-0.8276,-0.9126,-0.8611,-0.4827,-0.9149,-0.9674,-0.942,-0.9672,-0.92,-0.8312,0.7508,-0.9674,-0.9579,0.9673,6e-04,0.1434,0.856
"7","linear","115c2","Broken Heart",2019-05-22 08:55:50,-0.6495,-0.7649,-0.4063,-0.4541,-0.8124,-0.9674,-0.9525,-0.9674,-0.2245,-0.2983,0.6299,-0.9674,-0.9653,0.9662,0.0091,0.3105,0.6805
"8","linear","117c2","Cosmic Cave",2019-05-17 09:40:33,-0.4229,-0.5622,-0.1384,-0.1679,-0.6574,-0.9674,-0.7933,-0.9674,-0.0454,-0.0549,0.9674,-0.9674,-0.8856,0.9674,0.0088,0.5453,0.4459
"9","linear","120c2","Spider Web",2019-05-20 09:17:23,-0.8478,-0.9038,-0.7849,-0.7329,-0.9117,-0.9674,-0.9401,-0.9658,-0.6535,-0.8097,0.0211,-0.7264,-0.9576,0.9646,0.0023,0.119,0.8787
"10","linear","121c2","Shelves",2019-05-22 08:57:26,-0.711,-0.8135,-0.7085,-0.317,-0.8397,-0.9674,-0.8891,-0.9674,-0.6084,-0.7954,0.9664,-0.9674,-0.9285,0.9672,0.0034,0.2583,0.7383
"11","linear","122c2","Spiral",2019-05-20 09:18:54,-0.4814,-0.6616,-0.2242,-0.2058,-0.719,-0.9623,-0.9311,-0.9674,-0.3086,-0.0054,0.9674,-0.9674,-0.9051,0.9674,0.0069,0.4886,0.5045
