"","app","uid","context","timestamp","Physics_EAP","ForceAndMotion_EAP","LinearMomentum_EAP","Energy_EAP","Torque_EAP","NFL_EAP","NSL_EAP","NTL_EAP","POfMom_EAP","ConOfMom_EAP","EnergyTransfer_EAP","EnergyDissipate_EAP","StaticEquilibrium_EAP","PropertiesofTorque_EAP","Physics_Margin.High","Physics_Margin.Medium","Physics_Margin.Low"
"1","userControl","212c3","Spring",2019-05-22 08:47:49,-0.4135,-0.3132,-0.2411,-0.4484,-0.3308,-0.4751,-0.2607,-0.9376,-0.7823,-0.1213,-7e-04,-0.9674,-0.1879,0.9323,0.0116,0.5494,0.439
"2","userControl","217c3","Lightning",2020-01-17 13:54:23,-0.1247,-0.298,0.237,0.3596,-0.4347,-0.9674,-0.6993,-0.9673,0.3309,0.315,0.9674,0.1227,-0.8363,0.9674,0.111,0.6491,0.2399
"3","userControl","218c3","Lollipop",2019-05-20 09:19:18,-0.7444,-0.8514,-0.1558,-0.7821,-0.8746,-0.9671,-0.9575,-0.9665,-0.0945,0.4561,0.0308,-0.9674,-0.9672,0.9672,0.0029,0.2248,0.7723
"4","userControl","219c3","Timing is Everything",2019-05-17 09:39:29,-0.5424,-0.6955,-0.3403,-0.2338,-0.762,-0.9644,-0.8955,-0.9671,-0.6775,4e-04,0.9647,-0.9674,-0.9449,0.9672,0.0051,0.4291,0.5658
"5","userControl","220c3","Wavy",2019-05-17 09:16:23,-0.4552,-0.5906,-0.4044,0.1073,-0.6667,-0.9674,-0.8039,-0.9674,-0.3367,-0.5146,0.9436,-0.0933,-0.8871,0.9591,0.039,0.4515,0.5096
"6","userControl","222c3","Chain",2019-05-22 08:59:52,-0.8145,-0.9021,-0.4174,-0.8123,-0.9091,-0.9674,-0.9674,-0.9671,-0.2647,-0.109,0.0591,-0.9674,-0.9652,0.9669,0.001,0.156,0.843
"7","userControl","227c3","Back and Forth",2019-05-22 08:35:40,-0.8965,-0.9452,-0.8331,-0.7879,-0.9654,-0.9674,-0.9674,-0.9674,-0.6936,-0.8466,-0.0334,-0.766,-0.9674,-0.4897,2e-04,0.0728,0.9269
"8","userControl","228c3","Pipes",2019-05-20 09:18:26,-0.8267,-0.9081,-0.4319,-0.8473,-0.914,-0.9674,-0.9672,-0.9674,-0.4103,-0.0083,1e-04,-0.9674,-0.9661,0.9674,9e-04,0.1437,0.8554
"9","userControl","231c3","Spider Web",2019-05-20 10:33:53,-0.8809,-0.9332,-0.8186,-0.7726,-0.9466,-0.9674,-0.9623,-0.9674,-0.6815,-0.8356,-0.0099,-0.7552,-0.9667,0.4196,8e-04,0.0879,0.9114
"10","userControl","232c3","Mobile",2019-05-20 10:09:29,-0.5852,-0.7135,0.2253,-0.6821,-0.7738,-0.9674,-0.9674,-0.9674,0.6746,0.933,-0.0068,-0.9661,-0.9464,0.9455,0.0117,0.3716,0.6166
"11","userControl","233c3","Lollipop",2019-05-22 10:40:11,-0.632,-0.7907,-0.5145,-0.2829,-0.8208,-0.9674,-0.9674,-0.9674,-0.7027,-0.301,0.9674,-0.9674,-0.9474,0.9666,0.0036,0.3396,0.6568
"12","userControl","234c3","Fireworks",2019-05-22 10:53:16,-0.5973,-0.7688,-0.4309,-0.2654,-0.8108,-0.9674,-0.9674,-0.9674,-0.9259,0.0355,0.9674,-0.9673,-0.9631,0.9674,0.0038,0.3749,0.6212
"13","userControl","235c3","Balance",2019-05-17 10:43:01,-0.7175,-0.844,-0.6939,-0.3159,-0.8635,-0.9674,-0.9674,-0.9674,-0.5777,-0.7426,0.9665,-0.9361,-0.9626,0.9674,0.0041,0.2502,0.7457
"14","userControl","236c3","Breakfast time",2019-05-17 10:38:16,-0.9254,-0.9485,-0.9331,-0.8971,-0.9447,-0.9674,-0.9323,-0.9484,-0.9666,-0.9448,-3e-04,-0.9674,-0.9472,0.9673,1e-04,0.0432,0.9567
"15","userControl","237c3","Fireworks",2019-05-22 10:38:35,-0.8248,-0.9264,-0.9126,-0.3336,-0.9392,-0.9674,-0.9669,-0.9674,-0.9671,-0.9389,0.9439,-0.812,-0.9599,0.4609,5e-04,0.1464,0.8531
"16","userControl","239c3","Through the Cracks",2019-05-16 10:14:46,-0.7674,-0.7722,-0.6657,-0.5516,-0.8942,-0.9674,-0.6429,-0.9674,-0.5542,-0.7184,0.1436,-0.5899,-0.68,-0.424,0.0087,0.1894,0.8019
"17","userControl","240c3","Tetherball",2019-05-22 10:51:38,-0.7522,-0.8587,-0.1969,-0.7859,-0.876,-0.9674,-0.9669,-0.9674,-0.3037,0.5295,0.0341,-0.9674,-0.9591,0.9673,0.0029,0.2167,0.7804
"18","userControl","242c3","The Museum",2019-05-22 10:41:56,-0.8074,-0.9132,-0.8765,-0.3708,-0.9166,-0.9674,-0.9674,-0.9674,-0.9518,-0.8773,0.9651,-0.9674,-0.9642,0.8681,7e-04,0.164,0.8353
"19","userControl","243c3","Not too Far",2019-05-23 09:05:39,-0.6597,-0.7999,-0.5761,-0.2908,-0.836,-0.9674,-0.9416,-0.9643,-0.9623,-0.2662,0.9674,-0.9578,-0.9618,0.9673,0.0028,0.3123,0.6848
"20","userControl","245c3","Tetherball",2019-05-23 08:33:28,-0.4583,-0.5936,-0.2106,-0.1857,-0.6803,-0.9674,-0.8046,-0.9674,-0.3692,0.0065,0.9674,-0.9674,-0.8905,0.9674,0.0077,0.5109,0.4814
"21","userControl","246c3","Not too Far",2019-05-23 08:57:05,-0.7465,-0.8571,-0.7668,-0.3356,-0.8748,-0.9674,-0.9301,-0.9673,-0.9673,-0.6645,0.9674,-0.9651,-0.9545,0.9674,0.0016,0.2251,0.7733
"22","userControl","247c3","Not too Far",2019-05-23 08:56:58,-0.5112,-0.6388,-0.3149,-0.2132,-0.7128,-0.9674,-0.8209,-0.9674,-0.8083,0.0966,0.9674,-0.9674,-0.8975,0.9674,0.007,0.4576,0.5354
"23","userControl","248c3","Back and Forth",2019-05-23 08:32:35,-0.8889,-0.9379,-0.8247,-0.81,-0.944,-0.9674,-0.9667,-0.9674,-0.6866,-0.84,0.118,-0.9358,-0.9674,0.7116,7e-04,0.0798,0.9195
"24","userControl","250c3","Breakfast time",2019-05-23 09:00:48,-0.6653,-0.8141,-0.722,-0.0525,-0.8575,-0.9674,-0.9672,-0.9674,-0.6367,-0.8404,0.9513,-0.2319,-0.9674,0.7427,0.0075,0.2973,0.6952
"25","userControl","252c3","Lollipop",2019-05-23 10:50:02,-0.6106,-0.7728,-0.4609,-0.2707,-0.8172,-0.9674,-0.9529,-0.9674,-0.9674,-0.0084,0.9674,-0.9674,-0.9671,0.9647,0.0034,0.362,0.6346
"26","userControl","253c3","Stairs",2019-05-23 10:52:23,-0.5395,-0.7139,-0.4114,-0.2386,-0.7097,-0.9674,-0.9674,-0.9674,-0.9607,-0.0014,0.9674,-0.9674,-0.7929,0.9674,0.0056,0.4311,0.5632
"27","userControl","254c3","Whale",2019-05-20 11:54:09,-0.1374,-0.2522,0.5542,-0.0428,-0.421,-0.9674,-0.6826,-0.9674,0.7429,0.8975,0.9674,-0.9595,-0.8348,0.9674,0.0469,0.7642,0.1889
"28","userControl","255c3","Timing is Everything",2019-05-20 11:57:16,-0.7373,-0.8321,-0.6971,-0.3934,-0.8612,-0.9674,-0.8903,-0.9674,-0.8102,-0.5954,0.8319,-0.9674,-0.9293,0.8552,0.002,0.2339,0.7641
"29","userControl","256c3","The Museum",2019-05-23 10:48:42,-0.8064,-0.8979,-0.3364,-0.8353,-0.9066,-0.9674,-0.9674,-0.9674,-0.1516,0.0027,0.0022,-0.9674,-0.9674,0.9674,0.0011,0.1643,0.8346
"30","userControl","257c3","Mobile",2019-05-17 12:24:42,-0.5067,-0.6963,-0.234,-0.2214,-0.7583,-0.9674,-0.9674,-0.9674,-0.5109,0.1959,0.9674,-0.9671,-0.9587,0.9674,0.0074,0.4614,0.5312
"31","userControl","261c3","Down Hill",2019-05-23 10:45:30,-0.6038,-0.7725,-0.456,-0.2688,-0.807,-0.9674,-0.9674,-0.9674,-0.9669,-0.0011,0.9674,-0.9674,-0.9458,0.9674,0.0036,0.3686,0.6278
"32","userControl","262c3","Cosmic Cave",2019-05-20 12:16:28,-0.2053,-0.2617,-0.4916,0.3849,-0.1981,-0.351,-0.9674,-0.9674,-0.7784,-0.9378,0.9653,0.2096,-0.0891,0.9633,0.0367,0.7144,0.2489
