"","app","uid","context","timestamp","Physics_EAP","ForceAndMotion_EAP","LinearMomentum_EAP","Energy_EAP","Torque_EAP","NFL_EAP","NSL_EAP","NTL_EAP","POfMom_EAP","ConOfMom_EAP","EnergyTransfer_EAP","EnergyDissipate_EAP","StaticEquilibrium_EAP","PropertiesofTorque_EAP","Physics_Margin.High","Physics_Margin.Medium","Physics_Margin.Low"
"1","adaptive","004c1","Perfect Toss",2019-05-22 08:43:45,-0.8755,-0.9331,-0.6252,-0.8949,-0.9309,-0.9674,-0.9674,-0.9674,-0.0294,-0.6555,-0.2872,-0.9658,0.2865,-0.3139,5e-04,0.0941,0.9055
"2","adaptive","007c1","Get Over It!",2019-05-20 09:18:14,0.1411,-0.0836,0.659,0.231,0.1221,-0.9674,-0.9672,-0.9084,0.5657,0.9673,0.9674,-0.4777,0.9674,0.3763,0.1807,0.7844,0.0349
"3","adaptive","009c1","Green Apple",2019-05-22 08:57:33,-0.5065,-0.6939,-0.2274,-0.2161,-0.7628,-0.9674,-0.9674,-0.9674,-0.7022,0.3683,0.9674,-0.9493,-0.0682,0.0199,0.0083,0.4598,0.5319
"4","adaptive","010c1","St. Patrick's Day",2019-05-22 08:50:40,-0.9198,-0.9544,-0.9184,-0.8952,-0.9381,-0.9674,-0.9674,-0.9674,-0.9674,-0.896,0.0023,-0.9651,0.9674,-0.9222,1e-04,0.049,0.9509
"5","adaptive","011c1","Freefall",2019-05-22 08:25:26,-0.9435,-0.9633,-0.9427,-0.945,-0.9637,-0.9674,-0.9674,-0.9668,-0.9506,-0.9641,-0.6476,-0.9673,-0.7407,-0.3506,0,0.0247,0.9753
"6","adaptive","013c1","Windy Day",2019-05-22 08:59:46,-0.3153,-0.4875,-0.0604,-0.3343,-0.3191,-0.9674,-0.9674,-0.9674,-0.39,0.3387,0.0229,-0.4972,0.9666,-0.0877,0.0232,0.6277,0.3491
"7","adaptive","016c1","Freefall",2019-05-20 09:18:06,-0.9444,-0.9634,-0.9257,-0.9538,-0.9668,-0.9674,-0.9674,-0.9658,-0.9228,-0.9316,-0.7969,-0.9673,-0.7434,-0.8661,8.0246e-06,0.0238,0.9762
"8","adaptive","017c1","Seesaw",2019-05-20 09:17:04,-0.1881,-0.3642,0.2486,-0.0768,-0.3475,-0.9674,-0.9674,-0.9433,0.183,0.6101,0.9673,-0.9674,0.2566,0.2673,0.0379,0.7298,0.2323
"9","adaptive","018c1","Mr Green",2019-05-20 10:07:07,-0.4041,-0.6256,0.1613,-0.1682,-0.8338,-0.9674,-0.9674,-0.9674,0.0456,0.9663,0.9674,-0.9665,-0.6607,0.0137,0.0102,0.5619,0.4279
"10","adaptive","020c1","Basement Stairs",2019-05-20 10:09:55,-0.7728,-0.8895,-0.7941,-0.3525,-0.9048,-0.9674,-0.9674,-0.9674,-0.7665,-0.8234,0.9673,-0.9674,-0.8986,0.7042,0.0013,0.1986,0.8001
"11","adaptive","021c1","Up in the Air",2019-05-22 10:53:53,-0.9192,-0.9543,-0.9244,-0.8944,-0.9351,-0.9674,-0.9674,-0.9674,-0.9394,-0.9367,0.0054,-0.9674,-0.3818,0.4318,2e-04,0.0496,0.9503
"12","adaptive","022c1","Leprechaun",2019-05-22 10:52:30,0.0088,-0.1711,0.4029,0.0035,0.0467,-0.9674,-0.9674,-0.9674,-0.0073,0.9596,0.9674,-0.962,0.3568,0.9434,0.0792,0.8506,0.0701
"13","adaptive","023c1","Green Apple",2019-05-22 10:44:15,-0.7874,-0.8844,-0.7232,-0.5458,-0.8963,-0.9674,-0.9674,-0.9674,-0.8015,-0.6011,0.1751,-0.5635,0.0121,-0.0465,0.0019,0.1823,0.8158
"14","adaptive","024c1","Leprechaun",2019-05-20 09:55:58,-0.3788,-0.5925,0.203,-0.1564,-0.8038,-0.9662,-0.9649,-0.9626,0.1395,0.9672,0.9674,-0.9671,-0.6001,-0.0889,0.0133,0.5818,0.4049
"15","adaptive","025c1","Get Over It!",2019-05-20 10:07:06,-0.2865,-0.4898,0.1874,-0.1182,-0.5612,-0.9674,-0.9659,-0.9674,-0.1834,0.964,0.9674,-0.9674,0.0286,0.1227,0.0223,0.6591,0.3185
"16","adaptive","026c1","Flying Brooms",2019-05-22 10:54:43,-0.9359,-0.9608,-0.923,-0.941,-0.953,-0.9674,-0.9674,-0.9674,-0.8447,-0.9632,-0.9485,-0.6882,0.0188,-0.0194,0,0.0325,0.9674
