"","app","uid","context","timestamp","Physics_EAP","ForceAndMotion_EAP","LinearMomentum_EAP","Energy_EAP","Torque_EAP","NFL_EAP","NSL_EAP","NTL_EAP","POfMom_EAP","ConOfMom_EAP","EnergyTransfer_EAP","EnergyDissipate_EAP","StaticEquilibrium_EAP","PropertiesofTorque_EAP","Physics_Margin.High","Physics_Margin.Medium","Physics_Margin.Low"
"1","linear","107c2","Diving Board",2019-05-22 08:41:22,-0.0107,-0.0247,0.2159,0.338,-0.1092,-0.9674,-0.9674,0.0734,-0.8281,0.954,0.9674,-0.0783,-0.152,0.8744,0.0863,0.8162,0.0974
"2","linear","108c2","Roller coaster",2019-05-22 08:34:04,-0.1736,-0.2419,0.5744,0.0151,-0.6325,-0.9674,-0.9674,-0.4719,0.7821,0.9619,0.9664,-0.7877,-0.4501,-0.036,0.0445,0.7315,0.224
"3","linear","110c2","Cloudy Day",2019-05-20 09:29:17,-0.0861,-0.1888,0.6168,-0.1361,-0.1786,-0.9674,-0.9673,-0.4392,0.7802,0.9366,0.1365,-0.5047,-0.0576,0.7972,0.0854,0.7401,0.1745
"4","linear","111c2","Seesaw",2019-05-20 09:16:01,-0.1018,-0.1346,0.1328,-0.0058,-0.1255,-0.9674,-0.9547,-0.347,-0.958,0.9669,0.9674,-0.9477,-0.1356,0.9631,0.0291,0.8366,0.1343
"5","linear","112c2","On the Upswing",2019-05-20 09:04:29,-0.9239,-0.9434,-0.843,-0.9087,-0.9665,-0.9674,-0.9674,-0.9039,-0.7018,-0.8537,-0.6868,-0.6734,-0.7431,-0.9378,1e-04,0.0449,0.9551
"6","linear","114c2","Socks",2019-05-22 08:50:17,-0.1785,-0.2771,0.2246,-0.0575,-0.3092,-0.5652,-0.965,-0.9637,-0.0106,0.6519,0.9674,-0.9674,-0.1699,0.6653,0.0424,0.7307,0.2269
"7","linear","115c2","Socks",2019-05-22 08:55:09,-0.1342,-0.2067,0.6071,-0.0344,-0.4716,-0.9674,-0.9674,-0.4502,0.7935,0.9673,0.9674,-0.9674,-0.3107,0.2669,0.052,0.7574,0.1907
"8","linear","117c2","Green Apple",2019-05-20 09:18:54,-0.392,-0.5849,-0.1288,-0.1681,-0.5877,-0.9668,-0.9662,-0.9671,-0.8369,0.548,0.9674,-0.9674,0.1439,0.0769,0.0132,0.5684,0.4184
"9","linear","120c2","Cloudy Day",2019-05-20 09:20:00,-0.1734,-0.24,0.5637,-0.0444,-0.5582,-0.9674,-0.9669,-0.4707,0.7648,0.9337,0.9674,-0.9595,-0.3857,0.136,0.0424,0.7361,0.2216
"10","linear","121c2","Frog",2019-05-22 08:55:47,-0.0484,-0.1176,0.6534,-0.005,-0.2398,-0.9674,-0.9668,-0.3234,0.7827,0.922,0.9654,-0.9652,-0.1101,0.5961,0.0771,0.7957,0.1272
"11","linear","122c2","Pizza Hill",2019-05-20 09:16:55,-0.4088,-0.6149,-0.0304,-0.1687,-0.7035,-0.9586,-0.9673,-0.9524,-0.9056,0.8893,0.9674,-0.958,-0.9575,0.9671,0.0098,0.5578,0.4324
"12","linear","124c2","Freefall",2019-05-20 09:19:11,-0.5644,-0.7518,-0.2796,-0.2482,-0.8459,-0.9674,-0.9643,-0.9671,-0.8257,0.3749,0.967,-0.9674,-0.6374,-0.002,0.0053,0.4061,0.5887
"13","linear","126c2","Pizza Hill",2019-05-22 10:54:09,-0.1671,-0.3627,-0.0701,-0.0643,-0.1743,-0.9674,-0.9674,-0.9664,-0.967,0.4058,0.9674,-0.9674,-0.0092,0.9668,0.0211,0.785,0.1939
"14","linear","127c2","Sunny Day",2019-05-22 10:52:42,-0.1317,-0.2372,0.2974,-0.0206,-0.2065,-0.9674,-0.9663,-0.469,0.3899,0.3836,0.9297,-0.8475,-0.0817,0.8177,0.0773,0.7092,0.2135
"15","linear","128c2","Up in the Air",2019-05-20 10:15:51,-0.3467,-0.4221,-0.1064,-0.1228,-0.5092,-0.6962,-0.9644,-0.8258,-0.8969,0.4763,0.9674,-0.9644,-0.6077,0.8651,0.0138,0.614,0.3722
"16","linear","129c2","St. Patrick's Day",2019-05-22 10:43:12,-0.4348,-0.6581,0.0926,-0.1832,-0.8505,-0.9674,-0.9674,-0.9674,-0.0223,0.852,0.9674,-0.9674,-0.641,-0.1924,0.0084,0.5338,0.4578
"17","linear","132c2","Get Over It!",2019-05-22 10:53:49,-0.0475,-0.0964,0.2665,0.0035,-0.0503,-0.3795,-0.9275,-0.9616,-0.5307,0.9673,0.9674,-0.9674,-0.0114,0.9674,0.0411,0.8687,0.0902
"18","linear","133c2","Seesaw",2019-05-20 09:58:53,-0.0982,-0.2416,0.114,-0.0271,-0.1141,-0.8202,-0.967,-0.9174,-0.9527,0.9648,0.9674,-0.9674,-0.0288,0.9669,0.0293,0.84,0.1308
"19","linear","134c2","Under the Candlestick",2019-05-22 10:53:08,-0.1383,-0.328,0.0788,-0.0498,-0.185,-0.9674,-0.9674,-0.9674,-0.9176,0.8901,0.9674,-0.9627,0.2608,0.6003,0.0273,0.8024,0.1703
"20","linear","135c2","Green Apple",2019-05-22 10:52:47,-0.1104,-0.2985,0.0693,-0.027,-0.1297,-0.9674,-0.9674,-0.9674,-0.9531,0.8417,0.9674,-0.9317,-0.0158,0.9672,0.0286,0.8287,0.1427
"21","linear","136c2","Mr Green",2019-05-20 10:09:46,-0.2213,-0.3607,0.2823,-0.075,-0.4599,-0.9673,-0.7756,-0.8914,0.0014,0.9674,0.9674,-0.951,-0.3009,0.4464,0.0388,0.6936,0.2676
