"","app","uid","context","timestamp","Physics_EAP","ForceAndMotion_EAP","LinearMomentum_EAP","Energy_EAP","Torque_EAP","NFL_EAP","NSL_EAP","NTL_EAP","POfMom_EAP","ConOfMom_EAP","EnergyTransfer_EAP","EnergyDissipate_EAP","StaticEquilibrium_EAP","PropertiesofTorque_EAP","Physics_Margin.High","Physics_Margin.Medium","Physics_Margin.Low"
"1","userControl","212c3","Socks",2019-05-22 08:44:04,-0.9347,-0.9607,-0.9208,-0.9053,-0.9653,-0.9674,-0.9674,-0.9674,-0.9674,-0.8884,-0.0023,-0.9674,-0.7421,-0.6709,0,0.0337,0.9662
"2","userControl","217c3","Dominos",2020-01-17 14:26:36,-0.2006,-0.2618,0.5567,0.0039,-0.7001,-0.9674,-0.9674,-0.4842,0.7774,0.9618,0.9674,-0.7961,-0.5088,-0.173,0.0355,0.7217,0.2428
"3","userControl","218c3","Seesaw",2019-05-20 09:14:15,-0.3384,-0.418,-0.1682,-0.123,-0.4547,-0.9673,-0.9665,-0.6267,-0.9674,0.2941,0.9674,-0.9674,-0.1417,0.5477,0.0128,0.6247,0.3626
"4","userControl","219c3","Up in the Air",2019-05-17 09:42:17,-0.1753,-0.3513,0.2915,-0.0685,-0.3492,-0.9673,-0.9672,-0.8907,0.0058,0.942,0.9674,-0.9643,0.1505,0.3247,0.042,0.7348,0.2232
"5","userControl","220c3","Roller coaster",2019-05-17 09:24:03,-0.1552,-0.228,0.5545,-0.0408,-0.4874,-0.9674,-0.9626,-0.4634,0.7399,0.8897,0.9657,-0.9596,-0.3245,0.2593,0.0495,0.7405,0.21
"6","userControl","222c3","Windy Day",2019-05-22 09:00:15,-0.2338,-0.3934,0.3138,-0.0741,-0.5263,-0.9674,-0.9672,-0.8373,0.1579,0.9642,0.9674,-0.9218,0.6159,-0.5636,0.0309,0.6966,0.2725
"7","userControl","227c3","On the Upswing",2019-05-22 08:36:21,-0.8875,-0.9164,-0.8116,-0.7764,-0.9635,-0.9674,-0.9674,-0.8873,-0.6757,-0.8306,-0.3485,-0.5681,-0.7406,-0.8641,3e-04,0.082,0.9177
"8","userControl","228c3","Get Over It!",2019-05-20 09:18:11,0.0069,-0.1605,0.4788,0.0082,2e-04,-0.9674,-0.9669,-0.939,0.2133,0.9623,0.9674,-0.9497,0.3618,0.7826,0.0783,0.8506,0.0711
"9","userControl","231c3","Freefall",2019-05-22 10:52:00,-0.5184,-0.5777,0.1349,-0.4971,-0.735,-0.9674,-0.9673,-0.6787,0.4421,0.5477,0.2569,-0.9653,-0.5406,0.0936,0.0168,0.4304,0.5527
"10","userControl","232c3","Tricks",2019-05-20 10:01:38,0.373,-0.0315,0.7943,0.5442,0.4115,-0.9674,-0.9674,-0.9674,0.8274,0.9363,0.9674,0.1014,0.9337,0.9636,0.3958,0.594,0.0102
"11","userControl","233c3","Hammock",2019-05-22 10:52:05,-0.1846,-0.3911,-0.1843,-0.0749,-0.1286,-0.9674,-0.9674,-0.9674,-0.7615,-0.0767,0.9674,-0.9669,0.2286,0.9673,0.024,0.7612,0.2148
"12","userControl","234c3","Under the Candlestick",2019-05-22 10:52:50,0.0839,-0.1287,0.4692,0.1925,0.0895,-0.9674,-0.9674,-0.9674,0.0779,0.9555,0.9674,-0.5065,0.4541,0.8789,0.1367,0.8133,0.05
"13","userControl","235c3","Blocked",2019-05-17 10:44:25,-0.235,-0.4307,0.3191,0.2069,-0.7617,-0.9674,-0.9674,-0.9662,0.5364,0.6415,0.8748,-0.0055,-0.5632,-0.3128,0.0585,0.6401,0.3014
"14","userControl","236c3","Freefall",2019-05-20 10:16:16,-0.828,-0.9247,-0.8692,-0.3784,-0.9569,-0.9674,-0.9674,-0.962,-0.967,-0.8259,0.9674,-0.9674,-0.7347,-0.5651,3e-04,0.1435,0.8562
"15","userControl","237c3","Under the Candlestick",2019-05-22 10:53:36,0.0201,-0.1883,0.4049,0.2177,-0.0847,-0.9674,-0.9674,-0.9674,-0.0173,0.9674,0.9674,-0.3663,0.7026,0.2243,0.1111,0.7987,0.0903
"16","userControl","239c3","Cornfield",2019-05-16 10:16:40,-0.9021,-0.9262,-0.8232,-0.8372,-0.9641,-0.9673,-0.967,-0.8933,-0.6853,-0.8389,-0.49,-0.7994,-0.741,-0.8644,4e-04,0.0666,0.9329
"17","userControl","240c3","Mr Green",2019-05-22 10:39:26,-0.0492,-0.2407,0.004,0.2918,-0.0933,-0.9674,-0.9674,-0.9674,-0.9098,0.4045,0.9673,-0.0068,0.0023,0.9674,0.0593,0.8305,0.1102
"18","userControl","242c3","Get Over It!",2019-05-22 10:44:12,-0.1304,-0.3232,0.0741,-0.0504,-0.1384,-0.9674,-0.9674,-0.9674,-0.9546,0.8926,0.9674,-0.9674,0.4593,0.5742,0.0356,0.794,0.1704
"19","userControl","243c3","Up in the Air",2019-05-23 09:03:43,-0.1305,-0.14,0.083,-0.0209,-0.1316,-0.9672,-0.9241,-0.2939,-0.7269,0.5128,0.9674,-0.9667,0.0313,0.8454,0.0335,0.7981,0.1684
"20","userControl","245c3","Mr Green",2019-05-23 08:55:17,-0.4421,-0.6713,0.119,-0.1853,-0.8941,-0.9674,-0.9672,-0.9674,8e-04,0.9634,0.9674,-0.9674,-0.6795,-0.5302,0.0065,0.53,0.4635
"21","userControl","246c3","Up in the Air",2019-05-23 08:55:39,0.0349,-0.0523,0.4685,0.0215,0.1081,-0.7918,-0.9565,-0.3174,0.0236,0.9659,0.9674,-0.966,0.4153,0.967,0.0953,0.8455,0.0592
"22","userControl","247c3","Seesaw",2019-05-23 08:58:54,0.0314,-0.109,0.7145,0.0112,-0.0365,-0.9674,-0.9674,-0.9237,0.8414,0.9673,0.9674,-0.9674,0.0452,0.9212,0.0841,0.8642,0.0517
"23","userControl","248c3","Perfect Toss",2019-05-23 08:36:03,-0.3898,-0.58,0.2979,-0.1813,-0.8882,-0.9674,-0.9674,-0.9673,0.6425,0.8393,0.0838,-0.1017,-0.6743,-0.6377,0.0127,0.5717,0.4156
