ID	Section
S02	Evening
S03	Morning
S04	Evening
S05	Evening
S06	Evening
S07	Evening
S08	Evening
S09	Morning
S10	Morning
S11	Evening
S12	Morning
S13	Morning
S14	Evening
S15	Morning
S16	Morning
S17	Evening
S18	Evening
S19	Evening
S20	Evening
S21	Evening
S22	Evening
S23	Evening
S24	Morning
S25	Morning
S26	Evening
S27	Evening
S28	Evening
S29	Morning
S30	Morning
S31	Evening
S32	Evening
S33	Evening
S34	Morning
S35	Morning
S36	Morning
S37	Evening
S38	Morning
S39	Evening
S40	Morning
S41	Morning
S42	Evening
S43	Morning
S44	Evening
S45	Morning
S46	Evening
S47	Evening
S48	Morning
S49	Evening
S50	Morning
S51	Evening
S52	Morning
S53	Evening
S54	Evening
S55	Morning
S56	Morning
S57	Evening
S58	Evening
S59	Morning
S60	Evening
S61	Evening
S62	Evening
S63	Morning
S64	Evening
S65	Morning
S66	Morning
S67	Evening
S68	Morning
S69	Evening
