NAME	Config	CR1a	CR1b	CR2a	CR2b	CR3a	CR3b	Examp1a	Examp1b	Examp2a	Examp2b	Examp3a	Examp3b	Expl1a	Expl1b	Expl2a	Expl2b	Expl3a	Expl3b	Ext1a	Ext1b	Ext2a	Ext2b	Ext3a	Ext3b	Dist1a	Dist1b	Dist2a	Dist2b	Dist3a	Dist3b	MExtT1a	MExtT1b	MExtT2a	MExtT2b	MExtT3a	MExtT3b	RR1a	RR1b	RR2a	RR2b	RR3a	RR3b	TExt1a	TExt1b	TExt2a	TExt2b	TExt3a	TExt3b	VRExpl2a	VRExpl3a	VRExt1a	VRExt1b	VRExt2a	VRM3a	VExplVRM3a	VExplVRM3b	VExt1a	VExt1b	VExt1c	VExt2a	VExt3a	VETMVR2a	VEVRM2a
S055	adaptive_acc	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.	0	.	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
S058	adaptive_acc	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	.	0	.	0	1	0	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	1	0	1	0	1	1	0	0	0	1	1	1	1	0	0	1
S053	adaptive_full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.	0	.	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	1	1
S061	adaptive_acc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	.	1	.	0	0	1	0	1	1	1	0	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	1	0	1
S063	adaptive_acc	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	.	0	.	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
S066	adaptive_acc	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	.	0	.	1	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
S062	adaptive_full	0	0	0	0	0	0	0	0	0	0	0	0	.	.	0	0	0	0	1	.	1	.	0	1	1	0	1	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S054	linear_full	0	0	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	0	1	.	0	.	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	1	1
S057	linear_full	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	.	1	.	1	1	0	1	1	1	1	0	1	1	1	1	0	1	0	0	0	1	1	1	1	0	0	1	0	1	1	1	0	1	0	.	.	.	.	.	.	.	.	.	.
S060	linear_full	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	.	1	.	1	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
S067	adaptive_full	0	0	0	0	0	0	0	0	0	0	0	0	.	.	0	0	0	.	1	.	0	.	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S056	adaptive_full	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	.	1	.	1	0	0	0	1	1	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
S059	adaptive_full	0	0	0	0	0	0	0	.	0	0	0	0	0	1	1	1	.	.	0	.	0	.	1	0	1	0	1	1	0	0	1	1	0	1	0	1	.	.	1	1	1	.	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1
S064	adaptive_full	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	.	0	.	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1
S065	linear_full	0	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	1	.	0	.	1	1	0	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	1	1	0	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0
S068	linear_full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.	0	.	0	0	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0	1	1	0	0	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0
S052	adaptive_acc	.	.	.	.	.	.	.	.	1	1	1	1	.	.	.	.	.	.	.	.	.	.	.	.	1	1	1	1	1	0	1	1	1	1	0	0	.	.	.	.	.	.	.	.	1	1	0	1	0	0	1	1	1	0	1	0	0	0	.	0	0	0	0
S241	adaptive_full	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	1	.	1	.	0	1	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	1	0	1	1
S230	linear_full	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	0	1	1	.	1	.	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	0	0	0	1	0	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	1
S232	adaptive_full	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	.	0	.	0	0	1	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0
S233	linear_full	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	1	1	.	1	.	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	0	0
S236	linear_full	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	.	0	.	0	0	1	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
S235	adaptive_full	1	1	0	1	1	1	0	0	0	0	0	0	1	1	0	1	1	0	1	.	1	.	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	1	1	0	0	0	1	1	1	1	0	1	1
S240	adaptive_acc	1	1	1	1	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	.	1	.	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1
S239	linear_full	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	.	1	.	1	0	1	1	1	1	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	1	1	1	1	0	0	1	0	0	0	0	0
S234	adaptive_acc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	.	0	.	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
S231	adaptive_acc	0	0	1	1	0	.	0	0	0	0	0	0	1	1	0	0	1	1	1	.	1	.	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	0	0	1	0	0	0	1	1	0	0	0	0	1
S243	adaptive_acc	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	.	1	.	1	0	0	1	1	1	0	0	1	1	0	1	0	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
S228	adaptive_acc	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	.	0	.	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1
S238	adaptive_full	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	1	.	0	.	1	1	0	1	1	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	1	1	0	0	0	0	1
S229	adaptive_full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	.	1	.	1	1	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	0	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1
S242	linear_full	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	.	1	.	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	1	0	0	1	1	1	0	0	0	1	1
S237	adaptive_acc	0	1	0	0	0	0	1	1	0	0	0	0	.	.	.	.	.	.	.	.	.	.	.	.	1	0	0	0	0	0	1	1	1	1	1	1	.	.	1	0	1	.	1	1	0	1	0	1	1	0	1	1	1	0	0	0	1	1	1	0	1	0	1
S260	linear_full	0	0	1	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	.	1	.	0	0	1	0	1	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	0	1	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
S257	linear_full	1	1	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	.	1	.	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S258	adaptive_acc	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	.	1	.	1	0	0	1	0	1	0	0	1	1	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1	1	0	1	1
S249	adaptive_acc	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	.	1	.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	1	1	1	0	0	0	0	0
S253	adaptive_full	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	.	1	.	0	1	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1
S263	linear_full	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	.	1	.	0	1	1	1	0	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
S252	adaptive_acc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	.	0	.	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S255	adaptive_acc	1	1	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	1	.	1	.	1	0	1	1	1	1	0	0	1	1	1	1	0	1	0	0	0	1	1	0	0	0	0	1	0	1	1	1	1	0	1	0	1	1	0	0	0	0	0	0	1
S254	linear_full	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	0	1	1	.	1	.	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	0	1	0	1	1	1	0	0	1	1
S261	adaptive_acc	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	.	0	.	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	1	0	1	1	0	0	1	0
S262	adaptive_full	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	.	0	.	1	1	0	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1
S251	linear_full	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	.	0	.	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	0	1	0	1	0	1	0	0	0	1	1	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0
S250	adaptive_full	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	.	1	.	0	0	1	0	1	0	1	1	1	1	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1
S259	adaptive_full	1	1	1	1	0	.	1	0	0	0	1	1	1	1	0	0	1	0	1	.	0	.	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	1	1	1	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1
